english,ukrainian
serves,служити
purpose,мета
rendering it useless,робити непотрібним
beyond,за межами
exclude,виключати
wrap around,обгорнути навколо
render them,зробити їх
assert,стверджувати
observe,спостерігати
reduce,зменшувати
lean thinking,бережливе мислення
approach,підхід
engage,займатися
acquire,досягати
implement,впроваджувати
Pillar of something,"основа, опора, важлива частина"
transparency,прозорість
emergent,той що з'являється / новий
perceive,сприймати
diminish,зменшувати / слабшати
misleading,вводить в оману
wasteful,витрачає ресурси даремно
toward,до
frequently,часто
diligently,старанно
undesirable,небажаний
cadence,ритм / темп / регулярність
inspection,перевірка
adaptation,пристосування
provoke,викликати реакцію
deviate,відхилятися
adjust,"налаштовувати, пристосовувати"
adjustment,налаштування
further,"подальший, далі"
involve,"включати, залучати"
empowered,уповноважений
empower,"надавати повноваження, уповноважувати"
proficient in,"досвідчений у, добре володіє"
commitment,"зобов'язання, відданість"
focus,"фокус, концентрація"
openness,відкритість
respect,повага
courage,відвага
commit,зобов'язуватися
stakeholder,"стейкхолдер, зацікавлена особа"
capable,"здатний, вміє"
independent,незалежний
whom,"кого, кому (вказує на об'єкт дії)"
tough,"складний, міцний"
regard,"вважати, ставитися"
enforce,примусово забезпечувати
reinforce,"підсилювати, зміцнювати"
undermine,"підривати, ослаблювати"
embodied,"втілений, втілений у формі"
consists of,складається з
within,"всередині, у межах"
cohesive,"згуртований, послідовний"
internally,внутрішньо
